dt,LandAverageTemperature,LandAverageTemperatureUncertainty,LandAverageTemperaturePlusUncertainty,LandAverageTemperatureMinusUncertainty
1776-05-01,10.475,5.237,15.712,5.2379999999999995
1776-06-01,14.564,2.4330000000000003,16.997,12.131
1776-07-01,14.108,1.3030000000000002,15.411000000000001,12.805
1776-08-01,14.837,3.437,18.274,11.4
1776-09-01,10.602,2.065,12.667,8.537
1776-10-01,8.059999999999999,2.1519999999999997,10.211999999999998,5.9079999999999995
1776-11-01,5.87,2.7880000000000003,8.658000000000001,3.082
1776-12-01,5.021,2.9339999999999997,7.955,2.087
1777-01-01,6.021000000000001,3.11,9.131,2.911000000000001
1777-02-01,4.9190000000000005,5.268,10.187000000000001,-0.3489999999999993
1777-03-01,5.572,2.307,7.879,3.265
1777-04-01,6.361999999999999,1.401,7.762999999999999,4.960999999999999
1777-05-01,11.389,2.117,13.506,9.271999999999998
1777-06-01,12.323,1.607,13.93,10.716000000000001
1777-07-01,12.743,1.078,13.821,11.665000000000001
1777-08-01,12.815,1.2690000000000001,14.084,11.546
1777-09-01,11.379,2.6919999999999997,14.071,8.687
1777-10-01,6.956,3.464,10.42,3.4920000000000004
1777-11-01,5.529,2.276,7.805,3.253
1777-12-01,3.067,2.725,5.792,0.3420000000000001
1778-01-01,2.521,3.5439999999999996,6.0649999999999995,-1.0229999999999997
1778-02-01,6.093999999999999,3.569,9.663,2.5249999999999995
1778-03-01,4.604,4.151,8.754999999999999,0.4530000000000003
1778-04-01,10.983999999999998,1.69,12.673999999999998,9.293999999999999
1778-05-01,11.286,1.673,12.959,9.613
1778-06-01,11.731,3.975,15.706,7.756
1778-07-01,15.037,2.2159999999999997,17.253,12.821000000000002
1778-08-01,12.869000000000002,2.658,15.527000000000001,10.211000000000002
1778-09-01,13.377,2.35,15.727,11.027000000000001
1778-10-01,8.049,3.608,11.657,4.440999999999999
1778-11-01,3.854,2.675,6.529,1.1790000000000003
1778-12-01,2.101,2.3609999999999998,4.462,-0.2599999999999998
1779-01-01,1.4700000000000002,2.802,4.272,-1.3319999999999999
1779-02-01,5.14,4.959,10.099,0.18100000000000005
1779-03-01,6.9670000000000005,3.017,9.984,3.9500000000000006
1779-04-01,9.965,3.0860000000000003,13.051,6.879
1779-05-01,14.18,1.8630000000000002,16.043,12.317
1779-06-01,12.547,2.14,14.687000000000001,10.407
1779-07-01,13.659,1.858,15.517000000000001,11.801
