datetime,datenum,year,month,day,data_mean_global,data_mean_nh,data_mean_sh
1690-06-15,617427,1690,6,15,277.57547797602,278.300880550657,276.85007540138304
1690-07-15,617457,1690,7,15,275.935490892893,275.019398499283,276.851583286503
1690-08-15,617488,1690,8,15,274.332282089077,271.958229895395,276.70633428275903
1690-09-15,617519,1690,9,15,274.29137891663504,272.054941659465,276.52781617380504
1690-10-15,617549,1690,10,15,275.326363031884,274.162242838821,276.490483224947
1690-11-15,617580,1690,11,15,276.328130288845,276.038700539685,276.617560038006
1690-12-15,617610,1690,12,15,276.961772568633,277.277954457468,276.645590679797
1691-01-15,617641,1691,1,15,277.41790744721,278.097127390539,276.738687503881
1691-02-15,617672,1691,2,15,277.79611897604,278.748459210126,276.84377874195303
1691-03-15,617700,1691,3,15,278.13291086098803,279.38585451555,276.879967206427
1691-04-15,617731,1691,4,15,278.368246231966,279.915239896526,276.821252567407
1691-05-15,617761,1691,5,15,278.307297267053,279.81434709372996,276.800247440377
1691-06-15,617792,1691,6,15,277.57045582565604,278.295858400293,276.845053251019
1691-07-15,617822,1691,7,15,275.926785265649,275.010692872039,276.842877659259
1691-08-15,617853,1691,8,15,274.320485518121,271.946433324439,276.69453771180304
1691-09-15,617884,1691,9,15,274.277276842492,272.040839585322,276.513714099662
1691-10-15,617914,1691,10,15,275.310933802437,274.146813609374,276.4750539955
1691-11-15,617945,1691,11,15,276.31251726652,276.02308751736,276.601947015681
1691-12-15,617975,1691,12,15,276.947064695864,277.2632465847,276.630882807028
1692-01-15,618006,1692,1,15,277.40503400637,278.08425394969896,276.725814063041
1692-02-15,618037,1692,2,15,277.785848853908,278.738189087994,276.83350861982103
1692-03-15,618066,1692,3,15,278.12585254875,279.378796203312,276.872908894189
1692-04-15,618097,1692,4,15,278.364847825217,279.911841489777,276.817854160657
1692-05-15,618127,1692,5,15,278.307846465794,279.814896292471,276.800796639118
1692-06-15,618158,1692,6,15,277.575079934296,278.300482508933,276.849677359659
1692-07-15,618188,1692,7,15,275.935451193004,275.019358799394,276.851543586614
1692-08-15,618219,1692,8,15,274.332999777414,271.95894758373197,276.707051971096
1692-09-15,618250,1692,9,15,274.29328555135396,272.056848294184,276.529722808524
1692-10-15,618280,1692,10,15,275.329922682906,274.165802489843,276.494042875969
1692-11-15,618311,1692,11,15,276.333824259595,276.044394510435,276.62325400875596
1692-12-15,618341,1692,12,15,276.970006901395,277.286188790231,276.653825012559
1693-01-15,618372,1693,1,15,277.428981824697,278.108201768026,276.749761881368
1693-02-15,618403,1693,2,15,277.810226963129,278.762567197215,276.85788672904204
1693-03-15,618431,1693,3,15,278.150139904716,279.403083559278,276.897196250155
1693-04-15,618462,1693,4,15,278.388577661539,279.935571326099,276.84158399698
1693-05-15,618492,1693,5,15,278.33060629383704,279.837656120514,276.823556467161
1693-06-15,618523,1693,6,15,277.596511543182,278.321914117819,276.871108968545
1693-07-15,618553,1693,7,15,275.955250649614,275.039158256004,276.871343043224
1693-08-15,618584,1693,8,15,274.350917426382,271.9768652327,276.72496962006403
1693-09-15,618615,1693,9,15,274.309126015073,272.072688757903,276.545563272243
1693-10-15,618645,1693,10,15,275.34354486152404,274.179424668461,276.507665054587
1693-11-15,618676,1693,11,15,276.345140312585,276.055710563425,276.634570061746
1693-12-15,618706,1693,12,15,276.978976543713,277.29515843254796,276.662794654877
1694-01-15,618737,1694,1,15,277.435612983948,278.114832927277,276.756393040619
1694-02-15,618768,1694,2,15,277.81457610431,278.766916338396,276.862235870223
1694-03-15,618796,1694,3,15,278.15231203022006,279.405255684782,276.899368375659
1694-04-15,618827,1694,4,15,278.388726311147,279.935719975707,276.84173264658796
1694-05-15,618857,1694,5,15,278.32893354472697,279.835983371404,276.82188371805097
1694-06-15,618888,1694,6,15,277.59326800992403,278.318670584561,276.867865435287
1694-07-15,618918,1694,7,15,275.95073548416804,275.034643090558,276.866827877778
1694-08-15,618949,1694,8,15,274.345478318103,271.971426124421,276.719530511785
1694-09-15,618980,1694,9,15,274.303159190708,272.066721933538,276.539596447878
1694-10-15,619010,1694,10,15,275.337495085214,274.173374892151,276.50161527827703
1694-11-15,619041,1694,11,15,276.339497912289,276.050068163129,276.62892766145
1694-12-15,619071,1694,12,15,276.974205025251,277.290386914086,276.658023136415
1695-01-15,619102,1695,1,15,277.43207337967004,278.111293322999,276.752853436341
1695-02-15,619133,1695,2,15,277.812523343567,278.764863577653,276.86018310948
1695-03-15,619161,1695,3,15,278.151894939365,279.404838593927,276.898951284804
1695-04-15,619192,1695,4,15,278.389987613534,279.936981278094,276.842993948975
1695-05-15,619222,1695,5,15,278.33180986071096,279.838859687388,276.824760034035
1695-06-15,619253,1695,6,15,277.597589856861,278.322992431498,276.872187282224
1695-07-15,619283,1695,7,15,275.956227276418,275.040134882808,276.872319670028
1695-08-15,619314,1695,8,15,274.351758367026,271.977706173344,276.725810560708
1695-09-15,619345,1695,9,15,274.309739704664,272.07330244749403,276.54617696183396
1695-10-15,619375,1695,10,15,275.343782169566,274.179661976503,276.507902362629
1695-11-15,619406,1695,11,15,276.34479447116,276.05536472200004,276.634224220321
1695-12-15,619436,1695,12,15,276.97781901745,277.294000906285,276.661637128614
1696-01-15,619467,1696,1,15,277.43345809591597,278.112678039245,276.754238152587
1696-02-15,619498,1696,2,15,277.811286927239,278.763627161325,276.858946693152
1696-03-15,619527,1696,3,15,278.147800386501,279.400744041063,276.89485673194
1696-04-15,619558,1696,4,15,278.382952772833,279.92994643739297,276.835959108273
1696-05-15,619588,1696,5,15,278.321907433531,279.828957260208,276.814857606855
1696-06-15,619619,1696,6,15,277.58504739722,278.310449971857,276.859644822583
1696-07-15,619649,1696,7,15,275.941427190993,275.025334797383,276.857519584603
1696-08-15,619680,1696,8,15,274.335237915154,271.961185721472,276.709290108836
1696-09-15,619711,1696,9,15,274.292190998343,272.05575374117296,276.528628255513
1696-10-15,619741,1696,10,15,275.326052173452,274.161931980389,276.490172366515
1696-11-15,619772,1696,11,15,276.327883115018,276.038453365858,276.617312864179
1696-12-15,619802,1696,12,15,276.9627555938,277.27893748263597,276.646573704964
1697-01-15,619833,1697,1,15,277.42109957106703,278.100319514396,276.741879627738
1697-02-15,619864,1697,2,15,277.802299029664,278.75463926375,276.84995879557704
1697-03-15,619892,1697,3,15,278.142657606836,279.395601261398,276.88971395227503
1697-04-15,619923,1697,4,15,278.381938363879,279.92893202843896,276.834944699319
1697-05-15,619953,1697,5,15,278.325113410252,279.83216323692903,276.818063583576
1697-06-15,619984,1697,6,15,277.592374536746,278.317777111383,276.866971962109
1697-07-15,620014,1697,7,15,275.952585032616,275.036492639006,276.868677426226
1697-08-15,620045,1697,8,15,274.349744760331,271.975692566649,276.723796954013
1697-09-15,620076,1697,9,15,274.30937391069403,272.07293665352404,276.545811167864
1697-10-15,620106,1697,10,15,275.345046978763,274.1809267857,276.509167171826
1697-11-15,620137,1697,11,15,276.347635226774,276.05820547761397,276.637064975935
1697-12-15,620167,1697,12,15,276.98213157238996,277.29831346122603,276.665949683554
1698-01-15,620198,1698,1,15,277.439116071442,278.118336014771,276.759896128113
1698-02-15,620229,1698,2,15,277.818151371373,278.770491605459,276.865811137286
1698-03-15,620257,1698,3,15,278.155719774022,279.40866342858396,276.902776119461
1698-04-15,620288,1698,4,15,278.391763005279,279.938756669839,276.844769340719
1698-05-15,620318,1698,5,15,278.3314318392,279.838481665877,276.824382012524
1698-06-15,620349,1698,6,15,277.595096731169,278.320499305806,276.869694156532
1698-07-15,620379,1698,7,15,275.951799635036,275.035707241426,276.867892028646
1698-08-15,620410,1698,8,15,274.34571907786597,271.971666884184,276.719771271548
1698-09-15,620441,1698,9,15,274.302553915057,272.066116657887,276.538991172227
1698-10-15,620471,1698,10,15,275.336057306261,274.171937113198,276.500177499324
1698-11-15,620502,1698,11,15,276.33727898216097,276.047849233001,276.62670873132197
1698-12-15,620532,1698,12,15,276.97131229114103,277.287494179976,276.655130402305
1699-01-15,620563,1699,1,15,277.428633645624,278.107853588953,276.749413702295
1699-02-15,620594,1699,2,15,277.808668569836,278.761008803922,276.856328335749
1699-03-15,620622,1699,3,15,278.147762242404,279.40070589696603,276.894818587843
1699-04-15,620653,1699,4,15,278.385719266004,279.932712930564,276.838725601444
1699-05-15,620683,1699,5,15,278.327553291478,279.834603118155,276.820503464802
1699-06-15,620714,1699,6,15,277.593497650995,278.31890022563204,276.868095076358
1699-07-15,620744,1699,7,15,275.952457175193,275.03636478158296,276.86854956880296
1699-08-15,620775,1699,8,15,274.348473267923,271.974421074241,276.722525461605
1699-09-15,620806,1699,9,15,274.307107661368,272.070670404198,276.54354491853803
1699-10-15,620836,1699,10,15,275.341976391967,274.177856198904,276.50609658503
1699-11-15,620867,1699,11,15,276.34399208436,276.0545623352,276.633421833521
1699-12-15,620897,1699,12,15,276.978158752833,277.294340641669,276.661976863997
1700-01-15,620928,1700,1,15,277.432416631337,278.11163657466597,276.753196688008
1700-02-15,620959,1700,2,15,277.811910042285,278.76425027637197,276.859569808199
1700-03-15,620987,1700,3,15,278.150194164825,279.40313781938704,276.89725051026403
1700-04-15,621018,1700,4,15,278.387145931266,279.93413959582597,276.840152266706
1700-05-15,621048,1700,5,15,278.327855949771,279.834905776448,276.820806123095
1700-06-15,621079,1700,6,15,277.592634509829,278.318037084466,276.86723193519197
1700-07-15,621109,1700,7,15,275.950463399396,275.034371005786,276.866555793006
1700-08-15,621140,1700,8,15,274.34546097964403,271.971408785962,276.719513173326
1700-09-15,621171,1700,9,15,274.303265940075,272.066828682905,276.539703197245
1700-10-15,621201,1700,10,15,275.33757127444596,274.173451081383,276.501691467509
1700-11-15,621232,1700,11,15,276.33936656471803,276.049936815558,276.62879631387904
1700-12-15,621262,1700,12,15,276.973714612407,277.28989650124197,276.657532723571
1701-01-15,621293,1701,1,15,277.431151616804,278.11037156013305,276.751931673475
1701-02-15,621324,1701,2,15,277.811180059456,278.763520293542,276.858839825369
1701-03-15,621352,1701,3,15,278.150216437565,279.403160092127,276.897272783004
1701-04-15,621383,1701,4,15,278.388107006968,279.935100671528,276.84111334240896
1701-05-15,621413,1701,5,15,278.329897350474,279.836947177151,276.822847523798
1701-06-15,621444,1701,6,15,277.59585272658103,278.321255301218,276.870450151944
1701-07-15,621474,1701,7,15,275.954909892256,275.038817498646,276.87100228586604
1701-08-15,621505,1701,8,15,274.351142177678,271.977089983996,276.72519437136003
1701-09-15,621536,1701,9,15,274.310143241361,272.073705984191,276.546580498531
1701-10-15,621566,1701,10,15,275.345561046071,274.181440853008,276.509681239134
1701-11-15,621597,1701,11,15,276.348340142778,276.058910393618,276.637769891939
1701-12-15,621627,1701,12,15,276.983498302008,277.299680190844,276.667316413172
1702-01-15,621658,1702,1,15,277.441526692061,278.12074663539,276.762306748732
1702-02-15,621689,1702,2,15,277.821882763493,278.774222997579,276.86954252940603
1702-03-15,621717,1702,3,15,278.160947150574,279.413890805136,276.908003496013
1702-04-15,621748,1702,4,15,278.398584524839,279.945578189399,276.85159086027903
1702-05-15,621778,1702,5,15,278.33987908742296,279.8469289141,276.832829260747
1702-06-15,621809,1702,6,15,277.605134759519,278.330537334156,276.879732184882
1702-07-15,621839,1702,7,15,275.963326960789,275.047234567179,276.879419354399
1702-08-15,621870,1702,8,15,274.358567684107,271.984515490425,276.732619877789
1702-09-15,621901,1702,9,15,274.316489250679,272.08005199350896,276.552926507849
1702-10-15,621931,1702,10,15,275.35077828596803,274.186658092905,276.514898479031
1702-11-15,621962,1702,11,15,276.352418003639,276.06298825447897,276.6418477528
1702-12-15,621992,1702,12,15,276.98646483691005,277.30264672574503,276.670282948074
1703-01-15,622023,1703,1,15,277.443448616777,278.12266856010604,276.764228673448
1703-02-15,622054,1703,2,15,277.822865456492,278.775205690578,276.87052522240504
1703-03-15,622082,1703,3,15,278.1611303144,279.414073968962,276.908186659839
1703-04-15,622113,1703,4,15,278.398109968298,279.94510363285804,276.851116303739
1703-05-15,622143,1703,5,15,278.33887607750097,279.845925904178,276.83182625082503
1703-06-15,622174,1703,6,15,277.603719939975,278.329122514612,276.878317365338
1703-07-15,622204,1703,7,15,275.961604352153,275.045511958543,276.877696745763
1703-08-15,622235,1703,8,15,274.356628683683,271.982576490001,276.730680877365
1703-09-15,622266,1703,9,15,274.314412632543,272.077975375373,276.550849889713
1703-10-15,622296,1703,10,15,275.34863020096805,274.18451000790503,276.512750394031
1703-11-15,622327,1703,11,15,276.350251979395,276.060822230235,276.63968172855596
1703-12-15,622357,1703,12,15,276.98432177781604,277.300503666652,276.66813988897997
1704-01-15,622388,1704,1,15,277.441356803998,278.120576747327,276.762136860669
1704-02-15,622419,1704,2,15,277.820840547966,278.773180782052,276.86850031387996
1704-03-15,622448,1704,3,15,278.159175814643,279.41211946920504,276.906232160082
1704-04-15,622479,1704,4,15,278.396220418561,279.943214083121,276.849226754002
1704-05-15,622509,1704,5,15,278.337038135271,279.844087961948,276.82998830859503
1704-06-15,622540,1704,6,15,277.601912358309,278.327314932946,276.87650978367196
1704-07-15,622570,1704,7,15,275.959797979678,275.04370558606803,276.87589037328803
1704-08-15,622601,1704,8,15,274.354786464591,271.980734270909,276.728838658273
1704-09-15,622632,1704,9,15,274.31248960659804,272.076052349428,276.54892686376803
1704-10-15,622662,1704,10,15,275.346573503502,274.182453310439,276.510693696565
1704-11-15,622693,1704,11,15,276.34800084130796,276.05857109214804,276.637430590469
1704-12-15,622723,1704,12,15,276.981807525577,277.29798941441203,276.66562563674097
1705-01-15,622754,1705,1,15,277.438502859645,278.117722802974,276.759282916316
1705-02-15,622785,1705,2,15,277.817562429105,278.769902663191,276.865222195018
1705-03-15,622813,1705,3,15,278.155382179978,279.40832583454,276.902438525417
1705-04-15,622844,1705,4,15,278.391830717137,279.93882438169703,276.844837052577
1705-05-15,622874,1705,5,15,278.331997447722,279.839047274399,276.82494762104596
1705-06-15,622905,1705,6,15,277.596191868782,278.321594443419,276.870789294145
1705-07-15,622935,1705,7,15,275.953394975833,275.037302582223,276.869487369443
1705-08-15,622966,1705,8,15,274.347724337607,271.973672143925,276.721776531289
1705-09-15,622997,1705,9,15,274.304817851165,272.068380593995,276.541255108335
1705-10-15,623027,1705,10,15,275.33836771782603,274.174247524763,276.502487910889
1705-11-15,623058,1705,11,15,276.339362727109,276.04993297794897,276.62879247627
1705-12-15,623088,1705,12,15,276.972864888092,277.28904677692697,276.65668299925596
1706-01-15,623119,1706,1,15,277.429409607624,278.10862955095297,276.750189664295
1706-02-15,623150,1706,2,15,277.808498574812,278.76083880889803,276.85615834072496
1706-03-15,623178,1706,3,15,278.14655266917003,279.39949632373197,276.893609014609
1706-04-15,623209,1706,4,15,278.38343884612004,279.93043251067996,276.83644518156
1706-05-15,623239,1706,5,15,278.324218079597,279.831267906274,276.81716825292096
1706-06-15,623270,1706,6,15,277.589170223087,278.314572797724,276.86376764845
