,datenum,year,month,day,datetime,data_mean_global,data_mean_nh,data_mean_sh
11442,348273,953,7,15,15-Jul-0953 00:00:00,277.876006687634,276.95991429402403,278.79209908124403
11443,348304,953,8,15,15-Aug-0953 00:00:00,276.273320570732,273.89926837705,278.647372764414
11444,348335,953,9,15,15-Sep-0953 00:00:00,276.23366787531603,273.99723061814603,278.470105132486
11445,348365,953,10,15,15-Oct-0953 00:00:00,277.27066133107496,276.106541138012,278.434781524138
11446,348396,953,11,15,15-Nov-0953 00:00:00,278.2752102559,277.98578050674,278.564640005061
11447,348426,953,12,15,15-Dec-0953 00:00:00,278.912297187242,279.228479076077,278.596115298406
11448,348457,954,1,15,15-Jan-0954 00:00:00,279.372378060321,280.05159800365004,278.693158116992
11449,348488,954,2,15,15-Feb-0954 00:00:00,279.75487509261797,280.707215326704,278.802534858531
11450,348516,954,3,15,15-Mar-0954 00:00:00,280.09613015601,281.349073810572,278.843186501449
11451,348547,954,4,15,15-Apr-0954 00:00:00,280.335944546425,281.882938210985,278.788950881866
11452,348577,954,5,15,15-May-0954 00:00:00,280.279328607956,281.786378434633,278.77227878127997
11453,348608,954,6,15,15-Jun-0954 00:00:00,279.546512366025,280.271914940662,278.82110979138804
11454,348638,954,7,15,15-Jul-0954 00:00:00,277.906397358213,276.990304964603,278.822489751823
11455,348669,954,8,15,15-Aug-0954 00:00:00,276.303045300677,273.928993106995,278.67709749435903
11456,348700,954,9,15,15-Sep-0954 00:00:00,276.26211027259995,274.02567301543,278.49854752977
11457,348730,954,10,15,15-Oct-0954 00:00:00,277.297314349626,276.133194156563,278.461434542689
11458,348761,954,11,15,15-Nov-0954 00:00:00,278.299676195601,278.010246446441,278.589105944762
11459,348791,954,12,15,15-Dec-0954 00:00:00,278.934287693928,279.250469582764,278.618105805092
11460,348822,955,1,15,15-Jan-0955 00:00:00,279.391714125783,280.070934069112,278.712494182454
11461,348853,955,2,15,15-Feb-0955 00:00:00,279.771487054599,280.723827288685,278.819146820512
11462,348881,955,3,15,15-Mar-0955 00:00:00,280.110057698208,281.36300135277,278.857114043647
11463,348912,955,4,15,15-Apr-0955 00:00:00,280.34733669849203,281.894330363052,278.800343033933
11464,348942,955,5,15,15-May-0955 00:00:00,280.28844374549703,281.795493572174,278.781393918821
11465,348973,955,6,15,15-Jun-0955 00:00:00,279.55371821060004,280.279120785237,278.828315635963
11466,349003,955,7,15,15-Jul-0955 00:00:00,277.912170963643,276.996078570033,278.828263357253
11467,349034,955,8,15,15-Aug-0955 00:00:00,276.30793736804503,273.93388517436296,278.681989561727
11468,349065,955,9,15,15-Sep-0955 00:00:00,276.266624797003,274.030187539833,278.50306205417303
11469,349095,955,10,15,15-Oct-0955 00:00:00,277.301882848334,276.137762655271,278.466003041397
11470,349126,955,11,15,15-Nov-0955 00:00:00,278.304657708055,278.015227958895,278.594087457216
11471,349156,955,12,15,15-Dec-0955 00:00:00,278.939968781739,279.256150670574,278.623786892903
11472,349187,956,1,15,15-Jan-0956 00:00:00,279.39830887273604,280.077528816065,278.719088929407
11473,349218,956,2,15,15-Feb-0956 00:00:00,279.779137066649,280.73147730073504,278.82679683256197
11474,349247,956,3,15,15-Mar-0956 00:00:00,280.118832103481,281.371775758043,278.86588844892003
11475,349278,956,4,15,15-Apr-0956 00:00:00,280.357232147288,281.904225811848,278.810238482729
11476,349308,956,5,15,15-May-0956 00:00:00,280.299384410285,281.806434236962,278.79233458360903
11477,349339,956,6,15,15-Jun-0956 00:00:00,279.565555786022,280.290958360659,278.84015321138503
11478,349369,956,7,15,15-Jul-0956 00:00:00,277.924684666512,277.008592272902,278.840777060122
11479,349400,956,8,15,15-Aug-0956 00:00:00,276.320850181121,273.946797987439,278.694902374803
11480,349431,956,9,15,15-Sep-0956 00:00:00,276.279673695082,274.043236437912,278.516110952252
11481,349461,956,10,15,15-Oct-0956 00:00:00,277.314838056855,276.150717863792,278.478958249918
11482,349492,956,11,15,15-Nov-0956 00:00:00,278.317322707268,278.027892958108,278.606752456429
11483,349522,956,12,15,15-Dec-0956 00:00:00,278.952180306704,279.26836219554,278.635998417868
11484,349553,957,1,15,15-Jan-0957 00:00:00,279.409936913322,280.089156856651,278.73071696999295
11485,349584,957,2,15,15-Feb-0957 00:00:00,279.790084867536,280.742425101622,278.837744633449
11486,349612,957,3,15,15-Mar-0957 00:00:00,280.129036164159,281.381979818721,278.876092509598
